statistics_code;statistics_label;time_code;time_label;time;1_variable_code;1_variable_label;1_variable_attribute_code;1_variable_attribute_label;2_variable_code;2_variable_label;2_variable_attribute_code;2_variable_attribute_label;value;value_unit;value_variable_code;value_variable_label;value_q
23131;Diagnosen der Krankenhauspatienten;JAHR;Jahr;2023;DINSG;Deutschland insgesamt;DG;Deutschland;ICD10B;ICD-10 (2-Steller) Hauptdiagnose;ICD10-D00-D09;In-situ-Neubildungen;32421;Anzahl;GES025;Entlassene Patienten;e
23131;Diagnosen der Krankenhauspatienten;JAHR;Jahr;2014;DINSG;Deutschland insgesamt;DG;Deutschland;ICD10B;ICD-10 (2-Steller) Hauptdiagnose;ICD10-Q30-Q34;Angeborene Fehlbildungen des Atmungssystems;2440;Anzahl;GES025;Entlassene Patienten;e
23131;Diagnosen der Krankenhauspatienten;JAHR;Jahr;2019;DINSG;Deutschland insgesamt;DG;Deutschland;ICD10B;ICD-10 (2-Steller) Hauptdiagnose;ICD10-S90-S99;Verletzungen der Knöchelregion und des Fußes;36994;Anzahl;GES025;Entlassene Patienten;e
23131;Diagnosen der Krankenhauspatienten;JAHR;Jahr;2016;DINSG;Deutschland insgesamt;DG;Deutschland;ICD10B;ICD-10 (2-Steller) Hauptdiagnose;ICD10-P70-P74;Transit.Stoffwechelstörungen beim Fetus u. Neugeb.;12901;Anzahl;GES025;Entlassene Patienten;e
23131;Diagnosen der Krankenhauspatienten;JAHR;Jahr;2019;DINSG;Deutschland insgesamt;DG;Deutschland;ICD10B;ICD-10 (2-Steller) Hauptdiagnose;ICD10-A80-A89;Virusinfektionen des Zentralnervensystems;5505;Anzahl;GES025;Entlassene Patienten;e
23131;Diagnosen der Krankenhauspatienten;JAHR;Jahr;2015;DINSG;Deutschland insgesamt;DG;Deutschland;ICD10B;ICD-10 (2-Steller) Hauptdiagnose;ICD10-C60-C63;BN der männlichen Genitalorgane;84783;Anzahl;GES025;Entlassene Patienten;e
23131;Diagnosen der Krankenhauspatienten;JAHR;Jahr;2017;DINSG;Deutschland insgesamt;DG;Deutschland;ICD10B;ICD-10 (2-Steller) Hauptdiagnose;ICD10-A65-A69;Sonstige Spirochätenkrankheiten;6077;Anzahl;GES025;Entlassene Patienten;e
23131;Diagnosen der Krankenhauspatienten;JAHR;Jahr;2016;DINSG;Deutschland insgesamt;DG;Deutschland;ICD10B;ICD-10 (2-Steller) Hauptdiagnose;ICD10-E10-E14;Diabetes mellitus;207485;Anzahl;GES025;Entlassene Patienten;e
23131;Diagnosen der Krankenhauspatienten;JAHR;Jahr;2022;DINSG;Deutschland insgesamt;DG;Deutschland;ICD10B;ICD-10 (2-Steller) Hauptdiagnose;ICD10-T08-T14;Sonst.Verletzungen, Rumpf,Extremit.,and.Körperreg.;1720;Anzahl;GES025;Entlassene Patienten;e
23131;Diagnosen der Krankenhauspatienten;JAHR;Jahr;2023;DINSG;Deutschland insgesamt;DG;Deutschland;ICD10B;ICD-10 (2-Steller) Hauptdiagnose;ICD10-I00-I02;Akutes rheumatisches Fieber;2486;Anzahl;GES025;Entlassene Patienten;e
23131;Diagnosen der Krankenhauspatienten;JAHR;Jahr;2020;DINSG;Deutschland insgesamt;DG;Deutschland;ICD10B;ICD-10 (2-Steller) Hauptdiagnose;ICD10-T90-T98;Folgen v.Verletz.,Vergift.u.sonst.Auswirk.äuß.Urs.;22;Anzahl;GES025;Entlassene Patienten;e
23131;Diagnosen der Krankenhauspatienten;JAHR;Jahr;2022;DINSG;Deutschland insgesamt;DG;Deutschland;ICD10B;ICD-10 (2-Steller) Hauptdiagnose;ICD10-Z70-Z76;Sonstige Inanspruchnahme Gesundheitswesen;3730;Anzahl;GES025;Entlassene Patienten;e
23131;Diagnosen der Krankenhauspatienten;JAHR;Jahr;2017;DINSG;Deutschland insgesamt;DG;Deutschland;ICD10B;ICD-10 (2-Steller) Hauptdiagnose;ICD10-Z20-Z29;Pers. mit potent.Gesundheitsrisiken,übertragb. Kh.;4480;Anzahl;GES025;Entlassene Patienten;e
23131;Diagnosen der Krankenhauspatienten;JAHR;Jahr;2021;DINSG;Deutschland insgesamt;DG;Deutschland;ICD10B;ICD-10 (2-Steller) Hauptdiagnose;ICD10-P20-P29;Perinatale Kh.d. Atmungs- u. Herz-Kreislaufsystems;42155;Anzahl;GES025;Entlassene Patienten;e
