statistics_code,jahr,1_variable_code,2_variable_code,ICD-2,anzahl
23131,2018,DINSG,ICD10B,ICD10-L00-L08,143839
23131,2019,DINSG,ICD10B,ICD10-C97-C97,-
23131,2019,DINSG,ICD10B,ICD10-C45-C49,26667
23131,2020,DINSG,ICD10B,ICD10-P35-P39,17176
23131,2016,DINSG,ICD10B,ICD10-J09-J18,320939
23131,2017,DINSG,ICD10B,ICD10-F50-F59,15706
23131,2016,DINSG,ICD10B,ICD10-U50-U52,28
23131,2016,DINSG,ICD10B,ICD10-O20-O29,119710
23131,2019,DINSG,ICD10B,ICD10-Z70-Z76,2885
23131,2015,DINSG,ICD10B,ICD10-F30-F39,289577
23131,2019,DINSG,ICD10B,ICD10-P90-P96,12333
23131,2018,DINSG,ICD10B,ICD10-O85-O92,14775
23131,2022,DINSG,ICD10B,ICD10-B99-B99,33701
23131,2021,DINSG,ICD10B,ICD10-I70-I79,237529
23131,2023,DINSG,ICD10B,ICD10-T90-T98,12
23131,2014,DINSG,ICD10B,ICD10-F50-F59,17695
23131,2021,DINSG,ICD10B,ICD10-M50-M54,286915
23131,2021,DINSG,ICD10B,ICD10-R80-R82,429
23131,2017,DINSG,ICD10B,ICD10-I95-I99,45879
23131,2014,DINSG,ICD10B,ICD10-U00-U49,-
23131,2023,DINSG,ICD10B,ICD10-K55-K64,428934
23131,2014,DINSG,ICD10B,ICD10-O00-O08,45622
23131,2014,DINSG,ICD10B,ICD10-A15-A19,6527
23131,2019,DINSG,ICD10B,ICD10-G00-G09,17615
23131,2015,DINSG,ICD10B,ICD10-Q35-Q37,4329
23131,2020,DINSG,ICD10B,ICD10-F40-F48,128216
23131,2014,DINSG,ICD10B,ICD10-G30-G32,23627
23131,2019,DINSG,ICD10B,ICD10-N00-N08,8447
23131,2020,DINSG,ICD10B,ICD10-C73-C75,19939
23131,2019,DINSG,ICD10B,ICD10-H25-H28,99253
23131,2014,DINSG,ICD10B,ICD10-M30-M36,44918
23131,2022,DINSG,ICD10B,ICD10-A20-A28,779
23131,2023,DINSG,ICD10B,ICD10-J00-J06,93913
23131,2018,DINSG,ICD10B,ICD10-E20-E35,14701
23131,2014,DINSG,ICD10B,ICD10-S70-S79,207049
23131,2016,DINSG,ICD10B,ICD10-M70-M79,202924
23131,2015,DINSG,ICD10B,ICD10-R50-R69,278739
23131,2021,DINSG,ICD10B,ICD10-J40-J47,194111
23131,2015,DINSG,ICD10B,ICD10-T20-T32,17752
