isodat,Infektionen,Zuwachs,Genesen,Verstorben
2020-10-19,1640,,1310,7
2020-10-16,1620,,1310,7
2020-10-15,1520,,1180,7
2020-10-14,1490,,1180,7
2020-10-13,1480,,1180,7
2020-10-12,1470,,1180,7
2020-10-09,1430,,1180,7
2020-10-08,1430,,1180,7
2020-10-07,1390,,1180,7
2020-10-06,1390,,1180,7
2020-10-05,1390,,1180,7
2020-10-02,1350,,1180,7
2020-10-01,1330,,1130,7
2020-09-30,1330,,1130,7
2020-09-29,1320,,1130,7
2020-09-28,1320,,1130,7
2020-09-25,1300,,1130,7
2020-09-24,1280,,1090,7
2020-09-23,1280,,1090,7
2020-09-22,1280,,1050,7
2020-09-21,1280,,1050,7
2020-09-18,1260,,1050,7
2020-09-17,1250,,1050,7
2020-09-16,1250,,1050,7
2020-09-15,1250,,1050,7
2020-09-14,1220,,1040,7
2020-09-11,1210,,1040,7
2020-09-10,1200,,1040,7
2020-09-09,1200,,1040,7
2020-09-08,1190,,1010,7
2020-09-07,1170,,970,7
2020-09-04,1160,,970,7
2020-09-03,1160,,960,7
2020-09-02,1160,,960,7
2020-09-01,1160,,950,7
2020-08-31,1160,,940,7
2020-08-28,1160,,930,7
2020-08-27,1140,,930,7
2020-08-26,1140,,920,7
2020-08-25,1120,,920,7
2020-08-24,1120,,890,7
2020-08-21,1100,,890,7
2020-08-20,1090,,870,7
2020-08-19,1090,,870,7
2020-08-18,1090,,840,7
2020-08-17,1090,,840,7
2020-08-14,1060,,820,7
2020-08-13,1060,,800,7
2020-08-12,1060,,780,7
2020-08-11,1060,,730,7
2020-08-10,1060,,720,7
2020-08-07,1020,,720,7
2020-08-06,1020,,720,7
2020-08-05,980,,720,7
2020-08-04,970,,700,7
2020-08-03,960,,690,7
2020-07-31,900,,680,7
2020-07-30,880,,680,7
2020-07-29,870,,680,7
2020-07-28,870,,680,7
2020-07-27,870,,680,7
2020-07-24,830,,680,7
2020-07-23,800,,670,7
2020-07-22,800,,670,7
2020-07-21,780,,670,7
2020-07-20,780,,660,7
2020-07-17,780,,630,7
2020-07-16,780,,630,7
2020-07-15,780,,620,7
2020-07-14,780,,600,7
2020-07-13,780,,590,7
2020-07-10,770,,590,7
2020-07-09,760,,580,7
2020-07-08,760,,570,7
2020-07-07,760,,570,7
2020-07-06,760,,520,7
2020-07-03,740,,510,7
2020-07-02,740,,510,7
2020-07-01,730,,510,7
2020-06-30,720,,500,7
2020-06-29,720,,480,7
2020-06-26,700,,470,7
2020-06-25,660,,460,7
2020-06-24,630,,460,7
2020-06-23,630,,440,7
2020-06-22,620,,440,7
2020-06-19,620,,440,7
2020-06-18,600,,440,7
2020-06-17,600,,440,7
2020-06-16,600,,440,7
2020-06-15,600,,440,7
2020-06-12,570,,440,7
2020-06-10,550,,440,7
2020-06-09,550,,440,7
2020-06-08,550,,420,7
2020-06-05,550,,420,7
2020-06-04,540,,420,7
2020-06-03,540,,400,7
2020-06-02,540,,380,7
2020-05-29,540,,360,7
2020-05-28,540,,350,7
2020-05-27,540,,350,7
2020-05-26,530,,330,7
2020-05-25,530,,320,7
2020-05-22,530,,320,7
2020-05-20,530,,320,7
2020-05-19,520,,320,7
2020-05-18,520,,320,7
2020-05-15,510,,310,7
2020-05-14,490,,300,7
2020-05-13,470,,300,7
2020-05-12,460,,280,7
2020-05-11,450,,260,7
2020-05-08,440,,240,7
2020-05-07,430,,230,7
2020-05-06,430,,230,7
2020-05-05,430,,220,7
2020-05-04,420,,170,7
2020-05-02,420,,160,7
2020-04-30,420,,140,7
2020-04-29,410,,110,7
2020-04-28,390,,110,6
2020-04-27,390,,110,6
2020-04-24,370,,110,6
2020-04-23,350,,110,5
2020-04-22,350,,100,5
2020-04-21,350,,90,5
2020-04-20,350,,90,4
2020-04-17,310,,90,4
2020-04-16,300,,70,4
2020-04-15,280,,70,4
2020-04-14,270,,70,3
2020-04-13,260,,70,3
2020-04-09,180,,70,1
2020-04-08,170,,60,1
2020-04-07,140,,60,1
2020-04-06,130,,60,1
2020-04-03,130,,50,1
2020-04-02,110,,50,1
2020-04-01,110,,40,1
2020-03-31,110,,40,1
2020-03-30,110,,00,1
2020-03-27,90,,00,1
2020-03-26,90,,00,1
2020-03-25,80,,00,1
2020-03-24,80,,00,1
2020-03-23,80,,00,1
2020-03-20,70,,00,0
2020-03-19,60,,00,0
2020-03-13,10,,00,0
2020-03-12,10,,00,0
2020-03-11,10,,00,0
2020-03-10,10,,00,0
